,fecha,tweets
49,2020-04-03 00:33:33,"RT @GabrielAdrianQd: Periodista @soyfdelrincon de @CNN cuestiona las medidas ineficientes del Estado. No quiere intermediarios, pide la pre…"
50,2020-04-03 00:33:26,"RT @tecnovare: El coronavirus está dejando Guayaquil, en emergencia total, con un estado totalmente ausente. #GuayaquilSOS #EcuadorEnEmerge…"
51,2020-04-03 00:33:23,Más millones para el país 🤦🏼‍♂️a donde irá a parar este dinero 🤔#EcuadorEnEmergencia #EcuadorSOS #Covid_19ec https://t.co/PkHoXdBD5S
52,2020-04-03 00:33:18,ATENTOS!! #EcuadorEnEmergencia #SOSEcuador #EcuadorSOS #Covid_19ec  COMUNIQUENSE CON ESTA PERSONA PARA ADQUIRIR INS… https://t.co/tJu2Ys7G6M
53,2020-04-03 00:33:12,"RT @drexlerjorge: Fuerza #Guayaquil !
Ayudemos a Ecuador!
#EcuadorSOS 
#GuayaquilSOS #EcuadorEnEmergencia"
54,2020-04-03 00:33:09,RT @consuemary: Pero para qué preocuparse si lo que pasa en #GuayaquilSOS no es cierto es puro #FakeNews sí o qué??? (sacamo) ves lo peligr…
55,2020-04-03 00:33:09,RT @TPU19J: #CoronavirusEcuador El dictador Lenín Moreno agradece a sus ministros por negar la atención hospitalaria y que los pacientes mu…
56,2020-04-03 00:32:58,RT @DanielLoyaT: Hay que empezar a replantear nuestras prioridades. #EcuadorEnEmergencia #COVID2019Ec #QuedateEnCasa https://t.co/HNx65u17Mi
57,2020-04-03 00:32:57,RT @yosue_rv: Tristes y desgarradores testimonios ocurren en #EcuadorEnEmergencia. Urgen los pronunciamientos y medidas cautelares de los o…
58,2020-04-03 00:32:48,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
59,2020-04-03 00:32:37,"RT @BaironValleP: ¡NOS ESTABAN MINTIENDO!
@ComunicacionEc pretendió desviar la atención insinuando como #FakeNews a las noticias de persona…"
60,2020-04-03 00:32:32,Acciones como estas y otras + concretas  hacen falta a #Ecuador. El país está pagando muy caro los malos gobiernos… https://t.co/JPnLmOfBr5
61,2020-04-03 00:32:20,"RT @omarangulo503: 1er Contagio autóctono, local. 
Fase 2 PELIGRO COVID-19
La Muerte toca a la puerta. 
ENCIERRO O ENTIERRO? TU ELIGES  ign…"
62,2020-04-03 00:32:04,"Será verdad, porque estoy investigando y lo que descubro, indigna.

Como por ejemplo: los falsos positivos que mane… https://t.co/5gH0cxlGDo"
63,2020-04-03 00:31:58,"RT @saladeprensafsa: 🇦🇷ARGENTINA QUEDATE EN CASA 🙏🙏🙏

TRISTEZA TOTAL En #Ecuador Por falta de asistencia por el Coronavirus. El sistema de…"
64,2020-04-03 00:31:56,"RT @BaironValleP: Min. @mariapaularomo, debería armar un instructivo para que alcaldes conozcan en qué casos ""No hay que polemizar"" y qué c…"
65,2020-04-03 00:31:53,RT @mujerleal2018: Ikiam otro logro de la Revolución Ciudadana #EcuadorEnEmergencia #CoronavirusEcuador https://t.co/qyB7AlngFQ
66,2020-04-03 00:31:40,RT @CarmenN02585091: #EcuadorEnEmergencia 🔊De verdad que duele‼️Personas muriendo en la calle a consecuencia del #COVID19. Qué pena‼️Nada m…
67,2020-04-03 00:31:37,"@luisevivanco “De juez de poca conciencia, no esperes justa sentencia.” Y más del que espera la plata para la pauta… https://t.co/N1eWotTAZf"
68,2020-04-03 00:31:25,Después de ver tanta  información en tw me duele la cabeza. #EcuadorEnEmergencia  #SOSEcuador
69,2020-04-03 00:31:21,"RT @iosoyjctorres: Estimado de infectados por fecha:

Proyección en base a daos hasta el 23 de marzo. Los números difícilmente se equivocan…"
70,2020-04-03 00:31:20,"RT @liliDESPL: Aquí no hay #FakeNews aquí hay una bola de inútiles. Pedimos ayuda, no tenemos #presidente y estamos muriendo en las calles…"
71,2020-04-03 00:31:15,RT @EcuadorVideo: Guayaquil y sus moradores en la ciudadela 13 y la F proceden por su cuenta poner el cal al fallecido cuerpo de 4 días por…
72,2020-04-03 00:31:10,"RT @CEDOCUT: Con UNIDAD y DISCIPLINA venceremos la guerra con el virus.
#PrimeroLaSalud
#PrimeroLaVida
#QuédateEnCasa
#EcuadorEnEmergencia…"
73,2020-04-03 00:31:01,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
74,2020-04-03 00:30:57,RT @EcuadorVideo: 𝗣𝗹𝗮𝘆 &amp; 𝗥𝗧 ▶️ Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar…
75,2020-04-03 00:30:51,"RT @BaironValleP: Total indolencia con los médicos y enfermeras del @IESSec No son atendidos! Contagiados con el #COVID19, se ven obligados…"
76,2020-04-03 00:30:28,"@atvpe @JulianaOxenford Ojalá. Cumplan es@s  que se burlan de todos y no estén llamando al general del Aire, Mar o… https://t.co/sN66CHEoLJ"
77,2020-04-03 00:30:24,"RT @bytati_: Viene a darnos lecciones de humanismo el Presidente que decidió pagar 324 millones en deuda externa, en lugar de comprar kits…"
78,2020-04-03 00:30:23,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
79,2020-04-03 00:30:10,"RT @WILLY_SMYTCH: #EcuadorEnEmergencia 

Guayaquil de mis amores hoy tu cielo esta de luto ya no brillas como una perla quien se llevó tu b…"
80,2020-04-03 00:30:05,RT @bytati_: El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE. Aclara que ahora recogen 150 cadáveres diar…
81,2020-04-03 00:29:57,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
82,2020-04-03 00:29:50,"RT @bytati_: Desgarrador testimonio de un ciudadano guayaquileño. 

“Mi cuñado se está muriendo (...) Las medicinas que dijeron habían lleg…"
